date,code,name,category,shares,nav,net_subscription_yi,net_inflow_yi,inflow_estimate,share_change
2026-07-20,510050,上证50ETF,大盘蓝筹,8150166784.0,3.007,-2.6251,3.005,-2.6251,-2.6251
2026-07-20,510300,沪深300ETF,宽基核心,19701487616.0,4.65,-93.7022,-11.52,-93.7022,-93.7022
2026-07-20,510500,中证500ETF,中盘宽基,5722168576.0,7.426,-14.9708,-3.1775,-14.9708,-14.9708
2026-07-20,588000,科创50ETF,成长宽基,34646668288.0,1.815,-50.4207,-12.3287,-50.4207,-50.4207
2026-07-20,512100,中证1000ETF,小盘宽基,8705217536.0,2.818,-29.1945,-9.2468,-29.1945,-29.1945
2026-07-20,159915,创业板ETF,成长宽基,14920454912.0,3.477,65.9239,0.0,65.9239,65.9239
2026-07-21,510050,上证50ETF,大盘蓝筹,8237466880.0,3.079,2.688,4.9261,2.688,2.688
2026-07-21,510500,中证500ETF,中盘宽基,5923768576.0,7.792,15.7087,4.6264,15.7087,15.7087
2026-07-21,510300,沪深300ETF,宽基核心,21716587776.0,4.787,96.4628,8.3452,96.4628,96.4628
2026-07-21,159915,创业板ETF,成长宽基,14920454912.0,3.709,0.0,13.4052,0.0,0.0
2026-07-21,588000,科创50ETF,成长宽基,45053668096.0,2.016,209.8051,7.9386,209.8051,209.8051
2026-07-21,512100,中证1000ETF,小盘宽基,10447217664.0,2.933,51.0929,-0.955,51.0929,51.0929
2026-07-22,588000,科创50ETF,成长宽基,45512668160.0,1.955,8.9735,-1.1169,8.9735,8.9735
2026-07-22,159915,创业板ETF,成长宽基,17043454976.0,3.586,76.1308,-3.5194,76.1308,76.1308
2026-07-22,512100,中证1000ETF,小盘宽基,10693217536.0,2.891,7.1119,1.7366,7.1119,7.1119
2026-07-22,510300,沪深300ETF,宽基核心,24357187584.0,4.765,125.8246,5.0819,125.8246,125.8246
2026-07-22,510050,上证50ETF,大盘蓝筹,7476066816.0,3.086,-23.4968,1.8039,-23.4968,-23.4968
2026-07-22,510500,中证500ETF,中盘宽基,6140568576.0,7.74,16.7803,0.1913,16.7803,16.7803
2026-07-23,588000,科创50ETF,成长宽基,44360668160.0,1.888,-21.7498,-21.3813,-21.7498,-21.7498
2026-07-23,512100,中证1000ETF,小盘宽基,8671217664.0,2.914,-58.9211,0.6117,-58.9211,-58.9211
2026-07-23,159915,创业板ETF,成长宽基,16626455040.0,3.597,-14.9995,0.0,-14.9995,-14.9995
2026-07-23,510300,沪深300ETF,宽基核心,24044887808.0,4.787,-14.9498,1.4084,-14.9498,-14.9498
2026-07-23,510500,中证500ETF,中盘宽基,5786968576.0,7.737,-27.358,0.4467,-27.358,-27.358
2026-07-23,510050,上证50ETF,大盘蓝筹,7475166720.0,3.084,-0.0278,-0.2037,-0.0278,-0.0278
2026-07-24,510500,中证500ETF,中盘宽基,5733768704.0,7.545,-4.0139,-1.2947,-4.0139,-4.0139
2026-07-24,510050,上证50ETF,大盘蓝筹,7829766912.0,3.05,10.8153,-3.6589,10.8153,10.8153
2026-07-24,510300,沪深300ETF,宽基核心,24026887680.0,4.701,-0.8462,-10.1137,-0.8462,-0.8462
2026-07-24,159915,创业板ETF,成长宽基,16619454976.0,3.508,-0.2456,0.0,-0.2456,-0.2456
2026-07-24,588000,科创50ETF,成长宽基,46145668096.0,1.885,33.6472,5.2535,33.6472,33.6472
2026-07-24,512100,中证1000ETF,小盘宽基,8625217536.0,2.832,-1.3027,-1.376,-1.3027,-1.3027
2026-07-27,512100,中证1000ETF,小盘宽基,8381217536.0,2.93,-7.1492,-0.9959,-7.1492,-7.1492
2026-07-27,510500,中证500ETF,中盘宽基,5733768704.0,7.726,0.0,-1.4943,0.0,0.0
2026-07-27,588000,科创50ETF,成长宽基,45560668160.0,1.911,-11.1793,-4.748,-11.1793,-11.1793
2026-07-27,510300,沪深300ETF,宽基核心,24026887680.0,4.753,0.0,4.9834,0.0,0.0
2026-07-27,510050,上证50ETF,大盘蓝筹,7829766912.0,3.054,0.0,-0.3695,0.0,0.0
2026-07-27,159915,创业板ETF,成长宽基,16619454976.0,3.612,0.0,-1.062,0.0,0.0
2026-07-28,512100,中证1000ETF,小盘宽基,9413217536.0,2.848,29.3914,-4.8944,29.3914,29.3914
2026-07-28,588000,科创50ETF,成长宽基,46094668288.0,1.785,9.5319,-28.3779,9.5319,9.5319
2026-07-28,510500,中证500ETF,中盘宽基,6136568576.0,7.463,30.061,-0.7908,30.061,30.061
2026-07-28,159915,创业板ETF,成长宽基,16973454848.0,3.355,11.8767,0.0,11.8767,11.8767
2026-07-28,510300,沪深300ETF,宽基核心,24641587712.0,4.627,28.4422,-28.0897,28.4422,28.4422
2026-07-28,510050,上证50ETF,大盘蓝筹,7619166720.0,3.022,-6.3643,-2.0448,-6.3643,-6.3643
2026-07-29,510500,中证500ETF,中盘宽基,5654168576.0,7.54,-36.373,-2.7755,-36.373,-36.373
2026-07-29,510300,沪深300ETF,宽基核心,25334587648.0,4.657,32.273,-11.9326,32.273,32.273
2026-07-29,159915,创业板ETF,成长宽基,18974455040.0,3.402,68.074,-6.5676,68.074,68.074
2026-07-29,512100,中证1000ETF,小盘宽基,9051217664.0,2.878,-10.4184,-5.3098,-10.4184,-10.4184
2026-07-29,588000,科创50ETF,成长宽基,48173668096.0,1.776,36.923,-14.7137,36.923,36.923
2026-07-29,510050,上证50ETF,大盘蓝筹,7530966784.0,3.023,-2.6663,-0.8713,-2.6663,-2.6663
2026-07-30,588000,科创50ETF,成长宽基,50474668288.0,1.669,38.4037,-33.2269,38.4037,38.4037
2026-07-30,159915,创业板ETF,成长宽基,20048454912.0,3.27,35.1198,-34.3375,35.1198,35.1198
2026-07-30,510500,中证500ETF,中盘宽基,5654168576.0,7.336,0.0,-0.522,0.0,0.0
2026-07-30,510050,上证50ETF,大盘蓝筹,7530966784.0,3.026,0.0,-0.1928,0.0,0.0
2026-07-30,510300,沪深300ETF,宽基核心,25334587648.0,4.605,0.0,-19.9396,0.0,0.0
2026-07-30,512100,中证1000ETF,小盘宽基,11055217664.0,2.798,56.0719,-6.3698,56.0719,56.0719
2026-07-31,510300,沪深300ETF,宽基核心,26483887616.0,4.653,53.4769,3.2614,53.4769,53.4769
2026-07-31,512100,中证1000ETF,小盘宽基,11331217664.0,2.864,7.9046,2.6213,7.9046,7.9046
2026-07-31,510050,上证50ETF,大盘蓝筹,7144866816.0,3.033,-11.7104,0.5408,-11.7104,-11.7104
2026-07-31,510500,中证500ETF,中盘宽基,5988168704.0,7.5,25.05,3.213,25.05,25.05
2026-07-31,159915,创业板ETF,成长宽基,21996454912.0,3.368,65.6086,25.2665,65.6086,65.6086
2026-07-31,588000,科创50ETF,成长宽基,53900668160.0,1.728,59.2013,21.7282,59.2013,59.2013
2026-08-03,512100,中证1000ETF,小盘宽基,11401217536.0,2.867,2.0069,-1.1668,2.0069,2.0069
2026-08-03,510050,上证50ETF,大盘蓝筹,7214166784.0,2.99,2.0721,-3.8436,2.0721,2.0721
2026-08-03,510300,沪深300ETF,宽基核心,26466787584.0,4.599,-0.7864,-8.4073,-0.7864,-0.7864
2026-08-03,159915,创业板ETF,成长宽基,20397454848.0,3.325,-53.1668,-5.1139,-53.1668,-53.1668
2026-08-03,510500,中证500ETF,中盘宽基,6188168704.0,7.42,14.84,-0.9004,14.84,14.84
2026-08-03,588000,科创50ETF,成长宽基,51434668288.0,1.636,-40.3438,-27.4877,-40.3438,-40.3438
2026-08-04,159915,创业板ETF,成长宽基,20359454976.0,3.514,-1.3353,24.7718,-1.3353,-1.3353
2026-08-04,510500,中证500ETF,中盘宽基,6311768576.0,7.601,9.3948,2.8485,9.3948,9.3948
2026-08-04,588000,科创50ETF,成长宽基,53840668160.0,1.706,41.0464,16.2858,41.0464,41.0464
2026-08-04,512100,中证1000ETF,小盘宽基,11741217536.0,2.943,10.0062,-0.0578,10.0062,10.0062
2026-08-04,510300,沪深300ETF,宽基核心,27058087680.0,4.651,27.5014,9.0944,27.5014,27.5014
2026-08-04,510050,上证50ETF,大盘蓝筹,7677666816.0,2.983,13.8262,-2.1851,13.8262,13.8262
2026-08-05,159915,创业板ETF,成长宽基,20359454976.0,3.56,0.0,2.5131,0.0,0.0
2026-08-05,510500,中证500ETF,中盘宽基,6311768576.0,7.815,0.0,3.1155,0.0,0.0
2026-08-05,588000,科创50ETF,成长宽基,52859668224.0,1.786,-17.5207,21.0953,-17.5207,-17.5207
2026-08-05,510300,沪深300ETF,宽基核心,27058087680.0,4.714,0.0,12.0292,0.0,0.0
2026-08-05,510050,上证50ETF,大盘蓝筹,7677666816.0,3.029,0.0,4.7149,0.0,0.0
2026-08-05,512100,中证1000ETF,小盘宽基,12251217664.0,3.035,15.4785,0.149,15.4785,15.4785
2026-08-06,510300,沪深300ETF,宽基核心,27058087680.0,4.709,0.0,0.4568,0.0,0.0
2026-08-06,510050,上证50ETF,大盘蓝筹,7677666816.0,3.029,0.0,-0.8229,0.0,0.0
2026-08-06,512100,中证1000ETF,小盘宽基,11873217536.0,3.049,-11.5252,1.3604,-11.5252,-11.5252
2026-08-06,510500,中证500ETF,中盘宽基,6311768576.0,7.832,0.0,2.3323,0.0,0.0
2026-08-06,159915,创业板ETF,成长宽基,18978455040.0,3.54,-48.8874,-1.0808,-48.8874,-48.8874
2026-08-06,588000,科创50ETF,成长宽基,50768668160.0,1.794,-37.5125,1.5033,-37.5125,-37.5125
2026-08-07,588000,科创50ETF,成长宽基,50288668160.0,1.84,-8.832,11.1672,-8.832,-8.832
2026-08-07,512100,中证1000ETF,小盘宽基,10557217536.0,3.111,-40.9408,4.4996,-40.9408,-40.9408
